#{"t_start": 1709852568.9109983, "env_id": null}
r,l,t
3.8999984,39,12.339622
5.599997,56,12.344514
5.599997,56,12.344589
5.699997,57,12.349547
5.699997,57,12.349621
5.699997,57,12.34964
5.499997,55,12.35453
5.8999968,59,12.359381
5.8999968,59,12.359458
5.499997,55,12.3644
6.1999965,62,12.374092
5.1999974,52,12.374167
6.1999965,62,12.374187
6.1999965,62,12.374202
6.3999963,64,12.385282
6.499996,65,12.390297
5.399997,54,12.399662
6.699996,67,12.399739
6.699996,67,12.39976
6.499996,65,12.404525
6.9999957,70,12.413927
6.9999957,70,12.414008
6.899996,69,12.423368
7.2999954,73,12.428089
7.499995,75,12.437433
7.599995,76,12.442152
3.8999984,39,12.479028
4.799998,48,12.483786
6.599996,66,12.492998
8.799997,88,12.497607
9.099998,91,12.511356
7.3999953,74,12.52034
9.4,94,12.524925
5.2999973,53,12.538299
8.099995,81,12.542876
3.8999984,39,12.542942
8.299995,83,12.547466
9.800001,98,12.552016
6.599996,66,12.561031
10.000002,100,12.565573
9.700001,97,12.565639
5.0999975,51,12.578961
7.9999948,80,12.579028
4.499998,45,12.583522
9.800001,98,12.592607
2.2,22,12.597175
8.599997,86,12.601767
7.799995,78,12.606316
3.6999986,37,12.610911
8.399996,84,12.615481
7.3999953,74,12.615547
5.2999973,53,12.620092
4.599998,46,12.624638
5.8999968,59,12.624705
5.799997,58,12.629199
9.299999,93,12.633896
7.899995,79,12.63397
8.099995,81,12.638666
9.900002,99,12.647926
10.500004,105,12.647999
5.9999967,60,12.652655
6.1999965,62,12.65274
5.2999973,53,12.666654
5.799997,58,12.666732
3.9999983,40,12.66675
6.2999964,63,12.675929
5.1999974,52,12.676007
11.600008,116,12.676026
7.799995,78,12.699181
11.300007,113,12.708456
6.3999963,64,12.708536
11.100006,111,12.713183
12.800013,128,12.713258
7.0999956,71,12.717875
8.799997,88,12.722576
8.099995,81,12.727279
8.199995,82,12.727351
8.299995,83,12.731979
2.7999995,28,12.732053
3.6999986,37,12.736714
8.299995,83,12.741379
11.900009,119,12.746074
7.499995,75,12.74615
2.5999997,26,12.74617
4.0999985,41,12.750829
9.199999,92,12.755501
5.699997,57,12.755574
6.0999966,61,12.760199
14.500019,145,12.760274
3.7999985,38,12.769376
8.399996,84,12.787653
3.299999,33,12.792341
10.300003,103,12.792415
5.8999968,59,12.792435
5.499997,55,12.797045
10.000002,100,12.797119
4.599998,46,12.797139
4.0999985,41,12.806209
6.3999963,64,12.806288
9.4,94,12.810944
3.7999985,38,12.842692
6.3999963,64,12.847404
5.8999968,59,12.852108
6.799996,68,12.852182
6.799996,68,12.861422
11.000006,110,12.861502
10.000002,100,12.866137
11.800009,118,12.870804
6.3999963,64,12.87548
3.199999,32,12.880172
7.799995,78,12.884873
5.799997,58,12.884947
3.8999984,39,12.889578
5.499997,55,12.889652
3.0999992,31,12.88967
5.0999975,51,12.889697
5.1999974,52,12.894368
5.699997,57,12.899072
4.9999976,50,12.908337
7.9999948,80,12.913028
7.1999955,72,12.931323
4.9999976,50,12.931401
14.600019,146,12.936081
7.1999955,72,12.940807
3.8999984,39,12.94088
7.2999954,73,12.950038
6.1999965,62,12.954731
6.499996,65,12.968527
5.699997,57,12.982409
6.0999966,61,12.991676
8.399996,84,13.010056
12.700012,127,13.014794
8.299995,83,13.01487
5.8999968,59,13.028665
6.1999965,62,13.033415
6.899996,69,13.03349
4.9999976,50,13.038153
8.999998,90,13.042868
6.799996,68,13.042943
6.2999964,63,13.0476
6.799996,68,13.05231
5.2999973,53,13.052386
3.9999983,40,13.052406
5.699997,57,13.057094
7.0999956,71,13.061784
6.9999957,70,13.075634
7.1999955,72,13.080362
8.699997,87,13.080436
7.799995,78,13.085108
3.0999992,31,13.08518
