#{"t_start": 1713899393.4067721, "env_id": null}
r,l,t
0.6199997,62,5.328034
2.6499996,65,5.328059
2.7799995,78,5.338233
1.2799991,128,5.358788
6.850008,85,5.358877
0.41999987,42,5.364248
2.8799994,88,5.369393
0.86999947,87,5.369473
0.6399997,64,5.369494
5.27001,127,5.379505
3.6399996,64,5.379597
1.6999996,70,5.404422
0.57999974,58,5.409572
2.9399993,94,5.414711
1.5999997,60,5.419771
0.78999954,79,5.42517
1.3499999,35,5.425251
0.7199996,72,5.425272
4.8200064,82,5.430315
1.0699993,107,5.435286
0.56999975,57,5.435364
3.7899995,79,5.440437
0.5999997,60,5.446993
0.9499994,95,5.46194
6.060013,106,5.462023
2.7599995,76,5.466953
0.6299997,63,5.471913
12.56002,156,5.50155
1.4999998,50,5.511671
4.130002,113,5.516901
0.6199997,62,5.516982
5.190009,119,5.521901
1.0099994,101,5.536422
0.7199996,72,5.541419
2.4499998,45,5.556302
0.55999976,56,5.561443
1.31,31,5.561524
3.4699998,47,5.566561
4.9799995,98,5.576338
8.740016,174,5.590999
1.0099994,101,5.59625
1.5899997,59,5.596329
5.9900026,99,5.596351
7.0400105,104,5.601484
2.9599993,96,5.601563
0.68999964,69,5.601583
0.65999967,66,5.616594
3.0999992,110,5.621652
0.77999955,78,5.626805
3.7599995,76,5.631783
0.6099997,61,5.636698
4.120001,112,5.636778
0.66999966,67,5.651356
1.6699996,67,5.651441
0.5499998,55,5.656477
0.58999974,59,5.656555
0.5999997,60,5.671186
1.4999998,50,6.936396
0.3799999,38,6.941594
1.6199996,62,6.941676
4.7600017,76,6.947061
0.77999955,78,6.957004
6.6100082,161,6.966936
2.8099995,81,6.986495
2.6099997,61,6.991484
2.7399993,74,6.991572
3.6299996,63,6.991596
1.8199995,82,7.001514
4.350007,135,7.012278
0.6399997,64,7.012363
0.6199997,62,7.022279
7.8100033,81,7.022364
2.6799996,68,7.036989
0.8499995,85,7.037076
3.7299995,73,7.041963
2.1799994,118,7.046899
1.7499995,75,7.05196
1.1399993,114,7.05205
0.7499996,75,7.057262
3.369999,137,7.062572
3.499999,150,7.072433
3.1599991,116,7.082154
2.9499993,95,7.096704
5.6400013,64,7.107188
0.6199997,62,7.11759
3.7299995,73,7.127437
3.9199994,92,7.127522
2.1599991,116,7.132422
0.4999998,50,7.13736
1.8699994,87,7.152018
1.5399997,54,7.177334
1.6599996,66,7.197004
0.69999963,70,7.202238
1.0899993,109,7.207595
2.7099996,71,7.207682
0.6099997,61,7.207705
0.30999997,31,7.217901
2.0099993,101,7.217984
0.3999999,40,7.222866
2.6899996,69,7.232819
2.9399993,94,7.242626
1.3899999,39,7.24271
3.8999994,90,7.262164
0.6499997,65,7.262251
0.7399996,74,7.272084
0.45999983,46,7.27217
0.9199994,92,7.277104
4.130002,113,7.286941
0.86999947,87,7.287023
1.0599993,106,7.297067
0.7499996,75,7.297152
0.8199995,82,7.317018
0.65999967,66,7.322001
4.0299997,103,7.326989
2.9199994,92,7.336877
5.020001,102,7.336961
1.0999993,110,7.341925
8.360004,136,7.351785
3.7799995,78,7.356762
0.69999963,70,7.361748
0.8299995,83,7.361829
0.6399997,64,7.371665
2.3899999,39,7.371749
0.5299998,53,7.371771
0.6299997,63,7.37179
1.7599995,76,7.371807
6.070015,107,7.3815
0.5999997,60,7.381584
5.270005,127,7.401145
0.55999976,56,7.411075
0.8099995,81,7.416244
3.1399992,114,7.416324
3.4499998,45,7.426045
0.86999947,87,7.426124
3.0599992,106,7.469742
0.31999996,32,7.47963
7.060014,106,7.484625
5.880024,188,7.484704
0.86999947,87,7.484727
1.7999995,80,7.494704
2.9199994,92,7.494786
0.41999987,42,7.494807
0.28,28,7.499823
4.270005,127,7.505167
0.87999946,88,7.510648
1.7699995,77,7.510737
1.8099995,81,7.520975
6.1800127,118,7.530812
0.65999967,66,7.545567
0.57999974,58,7.550829
1.6899996,69,7.550915
4.0700006,107,7.555923
3.8299994,83,7.565907
5.9200087,92,7.595477
2.4499998,45,7.595568
17.75004,275,7.600693
6.8200083,82,7.615829
1.8299994,83,7.620994
9.250015,125,7.62764
1.6799996,68,7.627721
1.5699989,157,7.632699
0.58999974,59,7.632778
0.5399998,54,7.642481
4.3100014,131,7.642565
2.7499995,75,7.647684
2.8499994,85,7.647764
1.8099995,81,7.647786
0.32999995,33,7.652712
0.6299997,63,7.652796
8.640004,64,7.662593
1.6699996,67,7.662674
0.6199997,62,7.682166
6.9200077,92,7.691968
0.67999965,68,7.697038
2.1399992,114,7.697117
3.9299994,93,7.706846
0.8599995,86,7.706927
0.7299996,73,7.736533
0.46999982,47,7.736615
3.409999,141,7.741626
2.6599996,66,7.74667
7.750016,175,7.756575
11.850028,185,7.766595
0.26000002,26,7.771677
1.6999996,70,7.776761
0.8299995,83,7.776842
0.6099997,61,7.79152
2.8199995,82,7.791611
0.8399995,84,7.801474
1.6299996,63,7.811348
8.030015,103,7.811431
5.0200043,102,7.826053
3.5899997,59,7.826134
8.260005,126,7.826155
2.6999996,70,7.836073
1.6399996,64,7.841097
3.5799997,58,7.841178
0.55999976,56,7.846205
2.5999997,60,7.84629
1.1199993,112,7.856149
0.78999954,79,7.866093
0.6299997,63,7.871187
0.26000002,26,7.871267
1.7599995,76,7.876232
0.9599994,96,7.881338
0.7599996,76,7.88634
1.5999997,60,7.89654
0.58999974,59,7.896621
0.5399998,54,7.901622
6.3900156,139,7.91169
1.5799997,58,7.916857
2.1699991,117,7.936563
0.58999974,59,7.941525
0.5099998,51,7.95228
1.0999993,110,7.962041
3.6899996,69,7.967007
2.1099992,111,7.97197
0.66999966,67,7.986507
0.41999987,42,7.986593
0.7299996,73,7.991662
1.7199996,72,8.001741
2.6199996,62,8.006774
2.7799995,78,8.021741
0.5499998,55,8.021825
2.6699996,67,8.041625
2.7899995,79,8.04171
0.5499998,55,8.046743
3.8199995,82,8.061568
2.8499994,85,8.071494
0.45999983,46,8.071589
6.1300135,113,8.076483
0.56999975,57,8.076561
0.8299995,83,8.076581
7.64001,164,8.081454
0.7599996,76,8.08638
4.079999,108,8.091506
0.28,28,8.091594
0.43999985,44,8.0966
5.9700108,97,8.101697
0.5299998,53,8.106706
1.5299997,53,8.111898
0.7099996,71,8.111978
